Report Date,Age Group,Fatality Count,Percent
12/21/2020,0 to 9,6,0
12/21/2020,10 to 19,11,0
12/21/2020,20 to 29,109,0.4
12/21/2020,30 to 39,356,1.2
12/21/2020,40 to 49,923,3.2
12/21/2020,50 to 59,2575,8.9
12/21/2020,60 to 69,5376,18.6
12/21/2020,70 to 79,7468,25.9
12/21/2020,80 to 89,7605,26.5
12/21/2020,90 and Over,4413,15.3
12/21/2020,Unknown,8,0
12/21/2020,Statewide Total,28850,100
12/20/2020,0 to 9,6,0
12/20/2020,10 to 19,11,0
12/20/2020,20 to 29,109,0.4
12/20/2020,30 to 39,356,1.2
12/20/2020,40 to 49,922,3.2
12/20/2020,50 to 59,2565,8.9
12/20/2020,60 to 69,5359,18.7
12/20/2020,70 to 79,7432,25.9
12/20/2020,80 to 89,7566,26.5
12/20/2020,90 and Over,4375,15.2
12/20/2020,Unknown,8,0
12/20/2020,Statewide Total,28709,100
12/19/2020,0 to 9,6,0
12/19/2020,10 to 19,11,0
12/19/2020,20 to 29,109,0.4
12/19/2020,30 to 39,356,1.2
12/19/2020,40 to 49,920,3.2
12/19/2020,50 to 59,2559,9
12/19/2020,60 to 69,5347,18.7
12/19/2020,70 to 79,7398,25.9
12/19/2020,80 to 89,7531,26.4
12/19/2020,90 and Over,4353,15.2
12/19/2020,Unknown,8,0
12/19/2020,Statewide Total,28598,100
12/18/2020,0 to 9,6,0
12/18/2020,10 to 19,11,0
12/18/2020,20 to 29,109,0.4
12/18/2020,30 to 39,356,1.3
12/18/2020,40 to 49,917,3.2
12/18/2020,50 to 59,2552,9
12/18/2020,60 to 69,5327,18.7
12/18/2020,70 to 79,7369,25.9
12/18/2020,80 to 89,7489,26.3
12/18/2020,90 and Over,4330,15.2
12/18/2020,Unknown,8,0
12/18/2020,Statewide Total,28474,100
12/17/2020,0 to 9,6,0
12/17/2020,10 to 19,11,0
12/17/2020,20 to 29,109,0.4
12/17/2020,30 to 39,356,1.3
12/17/2020,40 to 49,914,3.2
12/17/2020,50 to 59,2547,9
12/17/2020,60 to 69,5314,18.8
12/17/2020,70 to 79,7329,25.9
12/17/2020,80 to 89,7447,26.3
12/17/2020,90 and Over,4303,15.2
12/17/2020,Unknown,8,0
12/17/2020,Statewide Total,28344,100
12/16/2020,0 to 9,6,0
12/16/2020,10 to 19,11,0
12/16/2020,20 to 29,107,0.4
12/16/2020,30 to 39,355,1.3
12/16/2020,40 to 49,912,3.2
12/16/2020,50 to 59,2543,9
12/16/2020,60 to 69,5299,18.8
12/16/2020,70 to 79,7297,25.9
12/16/2020,80 to 89,7406,26.2
12/16/2020,90 and Over,4278,15.2
12/16/2020,Unknown,8,0
12/16/2020,Statewide Total,28222,100
12/15/2020,0 to 9,6,0
12/15/2020,10 to 19,11,0
12/15/2020,20 to 29,107,0.4
12/15/2020,30 to 39,353,1.3
12/15/2020,40 to 49,909,3.2
12/15/2020,50 to 59,2536,9
12/15/2020,60 to 69,5285,18.8
12/15/2020,70 to 79,7272,25.9
12/15/2020,80 to 89,7374,26.3
12/15/2020,90 and Over,4239,15.1
12/15/2020,Unknown,8,0
12/15/2020,Statewide Total,28100,100
12/14/2020,0 to 9,6,0
12/14/2020,10 to 19,11,0
12/14/2020,20 to 29,107,0.4
12/14/2020,30 to 39,352,1.3
12/14/2020,40 to 49,909,3.3
12/14/2020,50 to 59,2533,9.1
12/14/2020,60 to 69,5274,18.8
12/14/2020,70 to 79,7248,25.9
12/14/2020,80 to 89,7346,26.2
12/14/2020,90 and Over,4208,15
12/14/2020,Unknown,8,0
12/14/2020,Statewide Total,28002,100
12/13/2020,0 to 9,6,0
12/13/2020,10 to 19,11,0
12/13/2020,20 to 29,107,0.4
12/13/2020,30 to 39,352,1.3
12/13/2020,40 to 49,909,3.3
12/13/2020,50 to 59,2529,9.1
12/13/2020,60 to 69,5252,18.8
12/13/2020,70 to 79,7215,25.9
12/13/2020,80 to 89,7304,26.2
12/13/2020,90 and Over,4177,15
12/13/2020,Unknown,8,0
12/13/2020,Statewide Total,27870,100
12/12/2020,0 to 9,6,0
12/12/2020,10 to 19,11,0
12/12/2020,20 to 29,106,0.4
12/12/2020,30 to 39,351,1.3
12/12/2020,40 to 49,908,3.3
12/12/2020,50 to 59,2527,9.1
12/12/2020,60 to 69,5245,18.9
12/12/2020,70 to 79,7191,25.9
12/12/2020,80 to 89,7276,26.2
12/12/2020,90 and Over,4156,15
12/12/2020,Unknown,8,0
12/12/2020,Statewide Total,27785,100
12/11/2020,0 to 9,6,0
12/11/2020,10 to 19,11,0
12/11/2020,20 to 29,105,0.4
12/11/2020,30 to 39,350,1.3
12/11/2020,40 to 49,908,3.3
12/11/2020,50 to 59,2519,9.1
12/11/2020,60 to 69,5230,18.9
12/11/2020,70 to 79,7168,25.9
12/11/2020,80 to 89,7239,26.2
12/11/2020,90 and Over,4131,14.9
12/11/2020,Unknown,8,0
12/11/2020,Statewide Total,27675,100
12/10/2020,0 to 9,6,0
12/10/2020,10 to 19,11,0
12/10/2020,20 to 29,105,0.4
12/10/2020,30 to 39,350,1.3
12/10/2020,40 to 49,907,3.3
12/10/2020,50 to 59,2515,9.1
12/10/2020,60 to 69,5217,18.9
12/10/2020,70 to 79,7147,25.9
12/10/2020,80 to 89,7213,26.2
12/10/2020,90 and Over,4108,14.9
12/10/2020,Unknown,8,0
12/10/2020,Statewide Total,27587,100
12/09/2020,0 to 9,6,0
12/09/2020,10 to 19,11,0
12/09/2020,20 to 29,105,0.4
12/09/2020,30 to 39,350,1.3
12/09/2020,40 to 49,906,3.3
12/09/2020,50 to 59,2511,9.1
12/09/2020,60 to 69,5208,18.9
12/09/2020,70 to 79,7124,25.9
12/09/2020,80 to 89,7182,26.2
12/09/2020,90 and Over,4087,14.9
12/09/2020,Unknown,8,0
12/09/2020,Statewide Total,27498,100
12/08/2020,0 to 9,6,0
12/08/2020,10 to 19,11,0
12/08/2020,20 to 29,105,0.4
12/08/2020,30 to 39,348,1.3
12/08/2020,40 to 49,903,3.3
12/08/2020,50 to 59,2508,9.2
12/08/2020,60 to 69,5195,19
12/08/2020,70 to 79,7105,25.9
12/08/2020,80 to 89,7150,26.1
12/08/2020,90 and Over,4065,14.8
12/08/2020,Unknown,8,0
12/08/2020,Statewide Total,27404,100
12/07/2020,0 to 9,6,0
12/07/2020,10 to 19,11,0
12/07/2020,20 to 29,105,0.4
12/07/2020,30 to 39,348,1.3
12/07/2020,40 to 49,902,3.3
12/07/2020,50 to 59,2503,9.2
12/07/2020,60 to 69,5189,19
12/07/2020,70 to 79,7079,25.9
12/07/2020,80 to 89,7126,26.1
12/07/2020,90 and Over,4030,14.8
12/07/2020,Unknown,8,0
12/07/2020,Statewide Total,27307,100
12/06/2020,0 to 9,6,0
12/06/2020,10 to 19,11,0
12/06/2020,20 to 29,105,0.4
12/06/2020,30 to 39,347,1.3
12/06/2020,40 to 49,902,3.3
12/06/2020,50 to 59,2500,9.2
12/06/2020,60 to 69,5178,19
12/06/2020,70 to 79,7060,25.9
12/06/2020,80 to 89,7102,26.2
12/06/2020,90 and Over,4013,14.7
12/06/2020,Unknown,8,0
12/06/2020,Statewide Total,27232,100
12/05/2020,0 to 9,6,0
12/05/2020,10 to 19,11,0
12/05/2020,20 to 29,105,0.4
12/05/2020,30 to 39,346,1.3
12/05/2020,40 to 49,902,3.3
12/05/2020,50 to 59,2495,9.2
12/05/2020,60 to 69,5166,19
12/05/2020,70 to 79,7042,25.9
12/05/2020,80 to 89,7076,26.2
12/05/2020,90 and Over,3992,14.7
12/05/2020,Unknown,8,0
12/05/2020,Statewide Total,27149,100
12/04/2020,0 to 9,6,0
12/04/2020,10 to 19,11,0
12/04/2020,20 to 29,105,0.4
12/04/2020,30 to 39,346,1.3
12/04/2020,40 to 49,902,3.3
12/04/2020,50 to 59,2490,9.2
12/04/2020,60 to 69,5158,19
12/04/2020,70 to 79,7024,25.9
12/04/2020,80 to 89,7063,26.2
12/04/2020,90 and Over,3976,14.7
12/04/2020,Unknown,8,0
12/04/2020,Statewide Total,27089,100
12/03/2020,0 to 9,6,0
12/03/2020,10 to 19,11,0
12/03/2020,20 to 29,105,0.4
12/03/2020,30 to 39,346,1.3
12/03/2020,40 to 49,902,3.3
12/03/2020,50 to 59,2488,9.2
12/03/2020,60 to 69,5147,19.1
12/03/2020,70 to 79,7007,25.9
12/03/2020,80 to 89,7037,26.1
12/03/2020,90 and Over,3960,14.7
12/03/2020,Unknown,8,0
12/03/2020,Statewide Total,27017,100
12/02/2020,0 to 9,6,0
12/02/2020,10 to 19,11,0
12/02/2020,20 to 29,105,0.4
12/02/2020,30 to 39,346,1.3
12/02/2020,40 to 49,900,3.3
12/02/2020,50 to 59,2486,9.2
12/02/2020,60 to 69,5140,19.1
12/02/2020,70 to 79,6989,25.9
12/02/2020,80 to 89,7016,26.1
12/02/2020,90 and Over,3948,14.7
12/02/2020,Unknown,8,0
12/02/2020,Statewide Total,26955,100
12/01/2020,0 to 9,6,0
12/01/2020,10 to 19,11,0
12/01/2020,20 to 29,105,0.4
12/01/2020,30 to 39,346,1.3
12/01/2020,40 to 49,898,3.3
12/01/2020,50 to 59,2483,9.2
12/01/2020,60 to 69,5130,19.1
12/01/2020,70 to 79,6975,25.9
12/01/2020,80 to 89,6989,26.1
12/01/2020,90 and Over,3938,14.7
12/01/2020,Unknown,8,0
12/01/2020,Statewide Total,26889,100
11/30/2020,0 to 9,6,0
11/30/2020,10 to 19,11,0
11/30/2020,20 to 29,105,0.4
11/30/2020,30 to 39,346,1.3
11/30/2020,40 to 49,896,3.3
11/30/2020,50 to 59,2481,9.3
11/30/2020,60 to 69,5125,19.1
11/30/2020,70 to 79,6952,25.9
11/30/2020,80 to 89,6970,26.1
11/30/2020,90 and Over,3916,14.6
11/30/2020,Unknown,8,0
11/30/2020,Statewide Total,26816,100
11/29/2020,0 to 9,6,0
11/29/2020,10 to 19,11,0
11/29/2020,20 to 29,105,0.4
11/29/2020,30 to 39,345,1.3
11/29/2020,40 to 49,893,3.3
11/29/2020,50 to 59,2480,9.3
11/29/2020,60 to 69,5119,19.1
11/29/2020,70 to 79,6930,25.9
11/29/2020,80 to 89,6948,26.1
11/29/2020,90 and Over,3902,14.6
11/29/2020,Unknown,8,0
11/29/2020,Statewide Total,26747,100
11/28/2020,0 to 9,6,0
11/28/2020,10 to 19,11,0
11/28/2020,20 to 29,105,0.4
11/28/2020,30 to 39,345,1.3
11/28/2020,40 to 49,892,3.3
11/28/2020,50 to 59,2478,9.3
11/28/2020,60 to 69,5105,19.1
11/28/2020,70 to 79,6915,25.9
11/28/2020,80 to 89,6933,26.1
11/28/2020,90 and Over,3892,14.6
11/28/2020,Unknown,8,0
11/28/2020,Statewide Total,26690,100
11/27/2020,0 to 9,6,0
11/27/2020,10 to 19,11,0
11/27/2020,20 to 29,104,0.4
11/27/2020,30 to 39,345,1.3
11/27/2020,40 to 49,892,3.4
11/27/2020,50 to 59,2476,9.3
11/27/2020,60 to 69,5100,19.2
11/27/2020,70 to 79,6898,25.9
11/27/2020,80 to 89,6917,26
11/27/2020,90 and Over,3875,14.6
11/27/2020,Unknown,8,0
11/27/2020,Statewide Total,26632,100
11/26/2020,0 to 9,6,0
11/26/2020,10 to 19,11,0
11/26/2020,20 to 29,104,0.4
11/26/2020,30 to 39,345,1.3
11/26/2020,40 to 49,892,3.4
11/26/2020,50 to 59,2475,9.3
11/26/2020,60 to 69,5092,19.2
11/26/2020,70 to 79,6889,25.9
11/26/2020,80 to 89,6900,26
11/26/2020,90 and Over,3866,14.5
11/26/2020,Unknown,8,0
11/26/2020,Statewide Total,26588,100
11/25/2020,0 to 9,6,0
11/25/2020,10 to 19,11,0
11/25/2020,20 to 29,104,0.4
11/25/2020,30 to 39,345,1.3
11/25/2020,40 to 49,891,3.4
11/25/2020,50 to 59,2470,9.3
11/25/2020,60 to 69,5088,19.2
11/25/2020,70 to 79,6881,25.9
11/25/2020,80 to 89,6884,26
11/25/2020,90 and Over,3861,14.5
11/25/2020,Unknown,8,0
11/25/2020,Statewide Total,26549,100
11/24/2020,0 to 9,6,0
11/24/2020,10 to 19,11,0
11/24/2020,20 to 29,104,0.4
11/24/2020,30 to 39,345,1.3
11/24/2020,40 to 49,889,3.4
11/24/2020,50 to 59,2467,9.3
11/24/2020,60 to 69,5080,19.2
11/24/2020,70 to 79,6870,26
11/24/2020,80 to 89,6865,25.9
11/24/2020,90 and Over,3837,14.5
11/24/2020,Unknown,8,0
11/24/2020,Statewide Total,26482,100
11/23/2020,0 to 9,6,0
11/23/2020,10 to 19,11,0
11/23/2020,20 to 29,104,0.4
11/23/2020,30 to 39,345,1.3
11/23/2020,40 to 49,888,3.4
11/23/2020,50 to 59,2467,9.3
11/23/2020,60 to 69,5075,19.2
11/23/2020,70 to 79,6859,26
11/23/2020,80 to 89,6853,25.9
11/23/2020,90 and Over,3825,14.5
11/23/2020,Unknown,8,0
11/23/2020,Statewide Total,26441,100
11/22/2020,0 to 9,6,0
11/22/2020,10 to 19,11,0
11/22/2020,20 to 29,104,0.4
11/22/2020,30 to 39,345,1.3
11/22/2020,40 to 49,887,3.4
11/22/2020,50 to 59,2467,9.4
11/22/2020,60 to 69,5070,19.2
11/22/2020,70 to 79,6843,26
11/22/2020,80 to 89,6840,25.9
11/22/2020,90 and Over,3809,14.4
11/22/2020,Unknown,8,0
11/22/2020,Statewide Total,26390,100
11/21/2020,0 to 9,6,0
11/21/2020,10 to 19,11,0
11/21/2020,20 to 29,104,0.4
11/21/2020,30 to 39,345,1.3
11/21/2020,40 to 49,887,3.4
11/21/2020,50 to 59,2467,9.4
11/21/2020,60 to 69,5069,19.2
11/21/2020,70 to 79,6831,26
11/21/2020,80 to 89,6831,26
11/21/2020,90 and Over,3798,14.4
11/21/2020,Unknown,8,0
11/21/2020,Statewide Total,26357,100
11/20/2020,0 to 9,6,0
11/20/2020,10 to 19,11,0
11/20/2020,20 to 29,104,0.4
11/20/2020,30 to 39,345,1.3
11/20/2020,40 to 49,887,3.4
11/20/2020,50 to 59,2466,9.4
11/20/2020,60 to 69,5066,19.2
11/20/2020,70 to 79,6826,26
11/20/2020,80 to 89,6820,25.9
11/20/2020,90 and Over,3787,14.4
11/20/2020,Unknown,8,0
11/20/2020,Statewide Total,26326,100
11/19/2020,0 to 9,6,0
11/19/2020,10 to 19,11,0
11/19/2020,20 to 29,104,0.4
11/19/2020,30 to 39,344,1.3
11/19/2020,40 to 49,887,3.4
11/19/2020,50 to 59,2465,9.4
11/19/2020,60 to 69,5063,19.3
11/19/2020,70 to 79,6817,25.9
11/19/2020,80 to 89,6808,25.9
11/19/2020,90 and Over,3779,14.4
11/19/2020,Unknown,8,0
11/19/2020,Statewide Total,26292,100
11/18/2020,0 to 9,6,0
11/18/2020,10 to 19,11,0
11/18/2020,20 to 29,104,0.4
11/18/2020,30 to 39,344,1.3
11/18/2020,40 to 49,886,3.4
11/18/2020,50 to 59,2465,9.4
11/18/2020,60 to 69,5058,19.3
11/18/2020,70 to 79,6809,25.9
11/18/2020,80 to 89,6797,25.9
11/18/2020,90 and Over,3769,14.4
11/18/2020,Unknown,8,0
11/18/2020,Statewide Total,26257,100
11/17/2020,0 to 9,6,0
11/17/2020,10 to 19,11,0
11/17/2020,20 to 29,104,0.4
11/17/2020,30 to 39,343,1.3
11/17/2020,40 to 49,886,3.4
11/17/2020,50 to 59,2464,9.4
11/17/2020,60 to 69,5050,19.3
11/17/2020,70 to 79,6802,25.9
11/17/2020,80 to 89,6788,25.9
11/17/2020,90 and Over,3763,14.4
11/17/2020,Unknown,8,0
11/17/2020,Statewide Total,26225,100
11/16/2020,0 to 9,6,0
11/16/2020,10 to 19,11,0
11/16/2020,20 to 29,103,0.4
11/16/2020,30 to 39,343,1.3
11/16/2020,40 to 49,885,3.4
11/16/2020,50 to 59,2463,9.4
11/16/2020,60 to 69,5047,19.3
11/16/2020,70 to 79,6794,26
11/16/2020,80 to 89,6776,25.9
11/16/2020,90 and Over,3753,14.3
11/16/2020,Unknown,8,0
11/16/2020,Statewide Total,26189,100
11/15/2020,0 to 9,6,0
11/15/2020,10 to 19,11,0
11/15/2020,20 to 29,103,0.4
11/15/2020,30 to 39,343,1.3
11/15/2020,40 to 49,885,3.4
11/15/2020,50 to 59,2463,9.4
11/15/2020,60 to 69,5043,19.3
11/15/2020,70 to 79,6788,26
11/15/2020,80 to 89,6762,25.9
11/15/2020,90 and Over,3747,14.3
11/15/2020,Unknown,8,0
11/15/2020,Statewide Total,26159,100
11/14/2020,0 to 9,6,0
11/14/2020,10 to 19,11,0
11/14/2020,20 to 29,103,0.4
11/14/2020,30 to 39,343,1.3
11/14/2020,40 to 49,884,3.4
11/14/2020,50 to 59,2463,9.4
11/14/2020,60 to 69,5038,19.3
11/14/2020,70 to 79,6784,26.1
11/14/2020,80 to 89,6753,25.8
11/14/2020,90 and Over,3740,14.3
11/14/2020,Unknown,8,0
11/14/2020,Statewide Total,26133,100
11/13/2020,0 to 9,6,0
11/13/2020,10 to 19,11,0
11/13/2020,20 to 29,102,0.4
11/13/2020,30 to 39,342,1.3
11/13/2020,40 to 49,884,3.4
11/13/2020,50 to 59,2461,9.4
11/13/2020,60 to 69,5032,19.3
11/13/2020,70 to 79,6780,26
11/13/2020,80 to 89,6748,25.9
11/13/2020,90 and Over,3729,14.3
11/13/2020,Unknown,8,0
11/13/2020,Statewide Total,26103,100
11/12/2020,0 to 9,6,0
11/12/2020,10 to 19,11,0
11/12/2020,20 to 29,102,0.4
11/12/2020,30 to 39,341,1.3
11/12/2020,40 to 49,884,3.4
11/12/2020,50 to 59,2460,9.4
11/12/2020,60 to 69,5031,19.3
11/12/2020,70 to 79,6775,26.1
11/12/2020,80 to 89,6736,25.8
11/12/2020,90 and Over,3725,14.3
11/12/2020,Unknown,8,0
11/12/2020,Statewide Total,26079,100
11/11/2020,0 to 9,6,0
11/11/2020,10 to 19,11,0
11/11/2020,20 to 29,102,0.4
11/11/2020,30 to 39,341,1.3
11/11/2020,40 to 49,884,3.4
11/11/2020,50 to 59,2459,9.4
11/11/2020,60 to 69,5028,19.3
11/11/2020,70 to 79,6768,26.1
11/11/2020,80 to 89,6725,25.8
11/11/2020,90 and Over,3723,14.3
11/11/2020,Unknown,8,0
11/11/2020,Statewide Total,26055,100
11/10/2020,0 to 9,6,0
11/10/2020,10 to 19,11,0
11/10/2020,20 to 29,101,0.4
11/10/2020,30 to 39,341,1.3
11/10/2020,40 to 49,883,3.4
11/10/2020,50 to 59,2458,9.4
11/10/2020,60 to 69,5024,19.3
11/10/2020,70 to 79,6761,26.1
11/10/2020,80 to 89,6715,25.8
11/10/2020,90 and Over,3718,14.3
11/10/2020,Unknown,8,0
11/10/2020,Statewide Total,26026,100
11/09/2020,0 to 9,6,0
11/09/2020,10 to 19,11,0
11/09/2020,20 to 29,101,0.4
11/09/2020,30 to 39,341,1.3
11/09/2020,40 to 49,883,3.4
11/09/2020,50 to 59,2457,9.5
11/09/2020,60 to 69,5023,19.3
11/09/2020,70 to 79,6760,26
11/09/2020,80 to 89,6707,25.8
11/09/2020,90 and Over,3708,14.3
11/09/2020,Unknown,8,0
11/09/2020,Statewide Total,26005,100
11/08/2020,0 to 9,6,0
11/08/2020,10 to 19,11,0
11/08/2020,20 to 29,101,0.4
11/08/2020,30 to 39,340,1.3
11/08/2020,40 to 49,882,3.4
11/08/2020,50 to 59,2455,9.5
11/08/2020,60 to 69,5018,19.3
11/08/2020,70 to 79,6752,26
11/08/2020,80 to 89,6699,25.8
11/08/2020,90 and Over,3701,14.3
11/08/2020,Unknown,8,0
11/08/2020,Statewide Total,25973,100
11/07/2020,0 to 9,6,0
11/07/2020,10 to 19,11,0
11/07/2020,20 to 29,100,0.4
11/07/2020,30 to 39,340,1.3
11/07/2020,40 to 49,882,3.4
11/07/2020,50 to 59,2453,9.5
11/07/2020,60 to 69,5015,19.3
11/07/2020,70 to 79,6747,26.1
11/07/2020,80 to 89,6690,25.8
11/07/2020,90 and Over,3695,14.2
11/07/2020,Unknown,8,0
11/07/2020,Statewide Total,25947,100
11/06/2020,0 to 9,6,0
11/06/2020,10 to 19,11,0
11/06/2020,20 to 29,100,0.4
11/06/2020,30 to 39,339,1.3
11/06/2020,40 to 49,882,3.4
11/06/2020,50 to 59,2450,9.5
11/06/2020,60 to 69,5013,19.3
11/06/2020,70 to 79,6741,26.1
11/06/2020,80 to 89,6688,25.8
11/06/2020,90 and Over,3690,14.2
11/06/2020,Unknown,8,0
11/06/2020,Statewide Total,25928,100
11/05/2020,0 to 9,6,0
11/05/2020,10 to 19,11,0
11/05/2020,20 to 29,100,0.4
11/05/2020,30 to 39,338,1.3
11/05/2020,40 to 49,882,3.4
11/05/2020,50 to 59,2449,9.5
11/05/2020,60 to 69,5013,19.4
11/05/2020,70 to 79,6732,26
11/05/2020,80 to 89,6685,25.8
11/05/2020,90 and Over,3686,14.2
11/05/2020,Unknown,8,0
11/05/2020,Statewide Total,25910,100
11/04/2020,0 to 9,6,0
11/04/2020,10 to 19,11,0
11/04/2020,20 to 29,100,0.4
11/04/2020,30 to 39,338,1.3
11/04/2020,40 to 49,882,3.4
11/04/2020,50 to 59,2449,9.5
11/04/2020,60 to 69,5011,19.4
11/04/2020,70 to 79,6724,26
11/04/2020,80 to 89,6682,25.8
11/04/2020,90 and Over,3681,14.2
11/04/2020,Unknown,8,0
11/04/2020,Statewide Total,25892,100
11/03/2020,0 to 9,6,0
11/03/2020,10 to 19,11,0
11/03/2020,20 to 29,100,0.4
11/03/2020,30 to 39,337,1.3
11/03/2020,40 to 49,881,3.4
11/03/2020,50 to 59,2448,9.5
11/03/2020,60 to 69,5007,19.4
11/03/2020,70 to 79,6721,26
11/03/2020,80 to 89,6674,25.8
11/03/2020,90 and Over,3675,14.2
11/03/2020,Unknown,8,0
11/03/2020,Statewide Total,25868,100
11/02/2020,0 to 9,6,0
11/02/2020,10 to 19,11,0
11/02/2020,20 to 29,99,0.4
11/02/2020,30 to 39,337,1.3
11/02/2020,40 to 49,881,3.4
11/02/2020,50 to 59,2447,9.5
11/02/2020,60 to 69,5005,19.4
11/02/2020,70 to 79,6715,26
11/02/2020,80 to 89,6672,25.8
11/02/2020,90 and Over,3672,14.2
11/02/2020,Unknown,8,0
11/02/2020,Statewide Total,25853,100
11/01/2020,0 to 9,6,0
11/01/2020,10 to 19,11,0
11/01/2020,20 to 29,99,0.4
11/01/2020,30 to 39,337,1.3
11/01/2020,40 to 49,880,3.4
11/01/2020,50 to 59,2445,9.5
11/01/2020,60 to 69,5001,19.4
11/01/2020,70 to 79,6711,26
11/01/2020,80 to 89,6669,25.8
11/01/2020,90 and Over,3671,14.2
11/01/2020,Unknown,8,0
11/01/2020,Statewide Total,25838,100
10/31/2020,0 to 9,6,0
10/31/2020,10 to 19,11,0
10/31/2020,20 to 29,99,0.4
10/31/2020,30 to 39,337,1.3
10/31/2020,40 to 49,880,3.4
10/31/2020,50 to 59,2445,9.5
10/31/2020,60 to 69,5000,19.4
10/31/2020,70 to 79,6707,26
10/31/2020,80 to 89,6663,25.8
10/31/2020,90 and Over,3668,14.2
10/31/2020,Unknown,8,0
10/31/2020,Statewide Total,25824,100
10/30/2020,0 to 9,6,0
10/30/2020,10 to 19,11,0
10/30/2020,20 to 29,99,0.4
10/30/2020,30 to 39,337,1.3
10/30/2020,40 to 49,880,3.4
10/30/2020,50 to 59,2444,9.5
10/30/2020,60 to 69,4997,19.4
10/30/2020,70 to 79,6703,26
10/30/2020,80 to 89,6658,25.8
10/30/2020,90 and Over,3664,14.2
10/30/2020,Unknown,8,0
10/30/2020,Statewide Total,25807,100
10/29/2020,0 to 9,6,0
10/29/2020,10 to 19,11,0
10/29/2020,20 to 29,99,0.4
10/29/2020,30 to 39,337,1.3
10/29/2020,40 to 49,879,3.4
10/29/2020,50 to 59,2442,9.5
10/29/2020,60 to 69,4997,19.4
10/29/2020,70 to 79,6705,26
10/29/2020,80 to 89,6658,25.8
10/29/2020,90 and Over,3661,14.2
10/29/2020,Unknown,9,0
10/29/2020,Statewide Total,25804,100
10/28/2020,0 to 9,6,0
10/28/2020,10 to 19,11,0
10/28/2020,20 to 29,99,0.4
10/28/2020,30 to 39,337,1.3
10/28/2020,40 to 49,879,3.4
10/28/2020,50 to 59,2442,9.5
10/28/2020,60 to 69,4995,19.4
10/28/2020,70 to 79,6702,26
10/28/2020,80 to 89,6655,25.8
10/28/2020,90 and Over,3657,14.2
10/28/2020,Unknown,9,0
10/28/2020,Statewide Total,25792,100
10/27/2020,0 to 9,6,0
10/27/2020,10 to 19,11,0
10/27/2020,20 to 29,99,0.4
10/27/2020,30 to 39,336,1.3
10/27/2020,40 to 49,879,3.4
10/27/2020,50 to 59,2442,9.5
10/27/2020,60 to 69,4995,19.4
10/27/2020,70 to 79,6693,26
10/27/2020,80 to 89,6652,25.8
10/27/2020,90 and Over,3651,14.2
10/27/2020,Unknown,9,0
10/27/2020,Statewide Total,25773,100
10/26/2020,0 to 9,6,0
10/26/2020,10 to 19,11,0
10/26/2020,20 to 29,99,0.4
10/26/2020,30 to 39,336,1.3
10/26/2020,40 to 49,879,3.4
10/26/2020,50 to 59,2441,9.5
10/26/2020,60 to 69,4992,19.4
10/26/2020,70 to 79,6687,26
10/26/2020,80 to 89,6649,25.8
10/26/2020,90 and Over,3649,14.2
10/26/2020,Unknown,9,0
10/26/2020,Statewide Total,25758,100
10/25/2020,0 to 9,6,0
10/25/2020,10 to 19,11,0
10/25/2020,20 to 29,98,0.4
10/25/2020,30 to 39,336,1.3
10/25/2020,40 to 49,879,3.4
10/25/2020,50 to 59,2441,9.5
10/25/2020,60 to 69,4987,19.4
10/25/2020,70 to 79,6682,26
10/25/2020,80 to 89,6646,25.8
10/25/2020,90 and Over,3647,14.2
10/25/2020,Unknown,9,0
10/25/2020,Statewide Total,25742,100
10/24/2020,0 to 9,6,0
10/24/2020,10 to 19,11,0
10/24/2020,20 to 29,98,0.4
10/24/2020,30 to 39,336,1.3
10/24/2020,40 to 49,879,3.4
10/24/2020,50 to 59,2440,9.5
10/24/2020,60 to 69,4986,19.4
10/24/2020,70 to 79,6677,26
10/24/2020,80 to 89,6641,25.8
10/24/2020,90 and Over,3647,14.2
10/24/2020,Unknown,9,0
10/24/2020,Statewide Total,25730,100
10/23/2020,0 to 9,6,0
10/23/2020,10 to 19,11,0
10/23/2020,20 to 29,98,0.4
10/23/2020,30 to 39,336,1.3
10/23/2020,40 to 49,879,3.4
10/23/2020,50 to 59,2439,9.5
10/23/2020,60 to 69,4984,19.4
10/23/2020,70 to 79,6675,26
10/23/2020,80 to 89,6637,25.8
10/23/2020,90 and Over,3644,14.2
10/23/2020,Unknown,9,0
10/23/2020,Statewide Total,25718,100
10/22/2020,0 to 9,6,0
10/22/2020,10 to 19,11,0
10/22/2020,20 to 29,98,0.4
10/22/2020,30 to 39,336,1.3
10/22/2020,40 to 49,879,3.4
10/22/2020,50 to 59,2438,9.5
10/22/2020,60 to 69,4983,19.4
10/22/2020,70 to 79,6670,26
10/22/2020,80 to 89,6633,25.8
10/22/2020,90 and Over,3642,14.2
10/22/2020,Unknown,9,0
10/22/2020,Statewide Total,25705,100
10/21/2020,0 to 9,6,0
10/21/2020,10 to 19,11,0
10/21/2020,20 to 29,98,0.4
10/21/2020,30 to 39,336,1.3
10/21/2020,40 to 49,879,3.4
10/21/2020,50 to 59,2436,9.5
10/21/2020,60 to 69,4982,19.4
10/21/2020,70 to 79,6665,26
10/21/2020,80 to 89,6630,25.8
10/21/2020,90 and Over,3642,14.2
10/21/2020,Unknown,9,0
10/21/2020,Statewide Total,25694,100
10/20/2020,0 to 9,6,0
10/20/2020,10 to 19,11,0
10/20/2020,20 to 29,98,0.4
