"","time","S1","S2","S3","E1","E2","E3","I1","I2","I3","R1","R2","R3"
"110",109,4.66538652009987e-09,7.69523626389179e-09,0.00442190930549859,31483.1150686167,47527.6866497393,47597.9942650979,403676.836619465,605774.21872892,559815.004918456,9870600.04831191,14628703.0946213,11547128.9963945
"111",110,4.21475811649706e-09,6.94260872709851e-09,0.00413608434633676,29062.578145591,43873.5844380949,43938.4868215624,382516.939867424,574041.895374173,530764.382267405,9894180.48198698,14664089.5201877,11579839.1267749
"112",111,3.8268340806802e-09,6.29552375395501e-09,0.00388148448503074,26828.1409456377,40500.4229562516,40560.335651826,362408.745067759,543884.949139617,503132.56345284,9916523.11398659,14697619.6279041,11610849.0970138
"113",112,3.4913021780017e-09,5.73650444073389e-09,0.00365400850959927,24765.4954420551,37386.6024543697,37441.909061445,343304.887556786,515232.593345388,476857.910909837,9937689.61700115,14729385.8042002,11640242.1763747
"114",113,3.1997724622515e-09,5.25135175369372e-09,0.00345017753472848,22861.4336615143,34512.1838503003,34563.2384790872,325159.69369905,488016.552422205,451880.762998221,9957738.87263942,14759476.2637275,11668097.9950725
"115",114,2.94538206423732e-09,4.82846681516006e-09,0.00326702939076386,21103.7631079367,31858.7610513861,31905.8905896521,307929.164465508,462171.039549447,428143.442990596,9976727.07242654,14787975.1993992,11694492.6631527
"116",115,2.72248805736235e-09,4.45832500690748e-09,0.00310203262886671,19481.2286888928,29409.3430926274,29452.8492982445,291570.95365929,437632.726071611,405590.25799901,9994707.81765181,14814962.9308358,11719498.8896007
"117",116,2.52642739124656e-09,4.13306557326513e-09,0.00295301621210366,17983.4406445839,27148.2453364972,27188.4067691737,276044.341585756,414340.703904189,384167.489159498,10011732.2177697,14840516.0507593,11743186.1011183
"118",117,2.35332811458839e-09,3.84616930179778e-09,0.00281811180270962,16600.808017908,25060.9890377118,25098.0628422619,261310.204879928,392236.442013139,363823.374260521,10027848.9871022,14864707.5689491,11765620.5600791
"119",118,2.19996019481733e-09,3.59220417498066e-09,0.00269570620594901,15324.4772395898,23134.208629829,23168.4321823827,247330.98312837,371263.737937068,344508.083880249,10043104.539632,14887607.0534331,11786865.4812417
"120",119,2.06361698998787e-09,3.36662354089676e-09,0.00258440203623191,14146.2754351097,21355.5661399915,21387.1585676762,234070.642853767,351368.665216779,326173.691987507,10057543.0817111,14909280.7686432,11806981.1468604
"121",120,1.94202060780814e-09,3.16560516223105e-09,0.00248298506542148,13058.6580904045,19713.6721837769,19742.8357675916,221494.639367977,332499.517502262,308774.141861333,10071206.7025416,14929791.810314,11826025.0198881
"122",121,1.83324596963663e-09,2.98592223441288e-09,0.0023903970222679,12054.6607412189,18198.0130342531,18224.9345041106,209569.876942837,314606.750021414,292265.208093281,10084135.4623159,14949200.2369443,11844051.8550122
"123",122,1.73565959464889e-09,2.82483952949287e-09,0.00230571285506192,11127.8543767573,16798.8832982307,16823.7350284542,198264.667696811,297642.919017244,276604.455354392,10096367.4779264,14967563.1976845,11861113.8073114
"124",123,1.64787002609385e-09,2.68002938818334e-09,0.00222812166171667,10272.304272065,15507.3237686114,15530.2648815348,187548.68954933,281562.619690112,261751.194534087,10107939.0061786,14984935.0565413,11877260.5383563
"125",124,1.56868750800478e-09,2.5495034637268e-09,0.00215691064386616,9482.53198552664,14315.064054875,14336.2414396101,177392.94355288,266322.423118174,247666.436790725,10118884.5244616,15001367.512827,11892539.3196128
"126",125,1.4970910459923e-09,2.43155702508079e-09,0.00209145156289399,8753.48027813629,13214.4696243433,13234.0188772338,167769.710875154,251880.812571931,234312.845992357,10129236.8088467,15016909.7178037,11906995.133039
"127",126,1.43220138845018e-09,2.3247233186683e-09,0.00203118927276385,8080.48072990133,12198.4929151068,12216.5392078869,158652.509669613,238198.119587212,221654.689970947,10139027.0096005,15031608.3874977,11920670.76879
"128",127,1.37325877510025e-09,2.2277360208725e-09,0.00197563198228889,7459.2238460162,11260.6282075665,11277.2870887824,150016.052042117,225236.460114333,209657.790963308,10148284.7241119,15045507.9116781,11933606.9199723
"129",128,1.31960454043999e-09,2.13949822587513e-09,0.00192434296207109,6885.7314613825,10394.8699656176,10410.2481004404,141836.201293769,212959.671019404,198289.475566898,10157038.0672448,15058650.459015,11945842.2744083
"130",129,1.2706658469364e-09,2.05905673402934e-09,0.00187693346189622,6356.3312667705,9595.67438071458,9609.87023388083,134089.92959532,201333.247176051,187518.524497922,10165313.7391379,15071076.0784432,11957413.6033913
"131",130,1.22594296922897e-09,1.98558065632643e-09,0.00183305664534012,5867.6332935023,8857.92387256977,8871.02833882015,126755.276226252,190324.279352106,177315.122402521,10173137.0904802,15082822.7967753,11968355.8474256
"132",131,1.18499866556845e-09,1.91834354688335e-09,0.0017924023816519,5416.50820607864,8176.89431916699,8188.99130522029,119811.306491766,179901.393065502,167650.807938821,10180532.1853021,15093926.7126153,11978702.1989636
"133",132,1.14744926336875e-09,1.8567084300511e-09,0.0017546927621502,5000.06726374776,7548.22480625229,7559.39176803906,113238.071413039,170034.688556518,158498.424317962,10187521.8613232,15104422.0866372,11988484.1821593
"134",133,1.11295715752078e-09,1.80011521107966e-09,0.00171967823059887,4615.64382270207,6967.88970259392,6978.19814118942,107016.568270219,160695.681999299,149832.070465577,10194127.7879071,15114341.4282981,11997731.7296736
"135",134,1.08122447716994e-09,1.74807005642317e-09,0.00168713423527405,4260.77626045363,6432.17288219855,6441.68880162976,101128.702063415,151857.248053975,141627.052941356,10200370.5216761,15123715.5790638,12006473.2565699
"136",135,1.05198772218625e-09,1.70013640721779e-09,0.0016568583254526,3933.19221304591,5937.64392841762,5946.42825827518,95557.2479443034,143493.563841438,133859.838732907,10206269.5598426,15132573.7922301,12014735.731352
