time,S1,S2,S3,E1,E2,E3,I1,I2,I3,R1,R2,R3,run
149,7.963876984395496,10.453426155944088,1358.1931577438859,3100.784944335619,4820.208108226822,9344.11356974025,75234.00099599306,115116.13678023772,152478.5154627345,10227417.250182701,15162058.201685397,11991361.177809797,15
150,7.8563691252825505,10.304204352908329,1343.8445967871783,2862.488539530494,4449.756237678652,8639.48750086835,71084.01408187911,108771.85319878552,144296.41488323323,10231805.641009478,15168773.086359201,12000262.253019126,15
0,10305660,15281905,12154442,50,50,50,50,50,50,0,0,0,16
1,10305547.109342996,15281750.111900669,12154365.367837336,154.72455831070462,195.11613842217113,119.84864976712079,55.05470506615518,56.62897284619293,53.69928929367931,3.111393623300504,3.1429880627357276,3.084223602863143,16
2,10305412.815015588,15281565.245811371,12154275.950516477,272.0917048505374,358.05988376962966,196.6871137571145,68.3233921034348,74.6718912353848,62.81077709333071,6.769887453990029,7.022413626082378,6.551592672984251,16
3,10305236.48686733,15281321.460640514,12154161.69248449,420.97461873184744,565.300296173936,291.57422250185226,91.04032208718594,105.87363601152569,77.99097235299325,11.498191847682369,12.365427303069863,10.742320655696963,16
4,10304992.853523023,15280983.344481502,12154007.952779941,623.2783667266208,847.5215701551737,417.21599795182476,125.93106669893999,154.06845847152582,100.76941833314946,17.937043546826686,20.065489875715553,16.061803774571352,16
5,10304648.203918673,15280503.711367486,12153795.358057046,907.361480774276,1244.401432118089,589.904669713267,177.4927833497499,225.56956015841166,133.700442642939,26.94181719776704,31.317640239975674,23.03683059969084,16
6,10304155.621492598,15279816.952575969,12153497.11741156,1312.1282509815553,1810.3209335907989,831.8281573852588,252.54634210899872,329.9382351333192,180.66901740560385,39.7039143077135,47.78825530911368,32.3854136515399,16
7,10303448.551727554,15278830.067978546,12153075.406479022,1892.4130786548708,2621.871754497793,1174.0992490479962,361.12037376598386,481.2159992657358,247.38391240768988,57.91482002326905,71.84426769189454,45.110359523865995,16
8,10302431.80875493,15277410.131483193,12152476.318834284,2726.4185916193737,3788.2224466485814,1660.9324536612523,517.7768825124682,699.7722381124237,342.11921170305965,83.9957709355584,106.8738320491665,62.62950035128747,16
9,10300968.80566784,15275366.497359347,12151622.701905292,3926.2201127995513,5465.754521484614,2355.5378791401263,743.5498978441058,1015.0060753578147,476.8000488323515,121.4243215134943,157.7420438124269,86.96016673794527,16
10,10298863.31303682,15272425.384941481,12150403.923032148,5652.734372394412,7878.916408427919,3348.519685987734,1068.7509372555796,1469.2558529348905,668.5747708370029,175.2016535249359,231.4427971581321,120.9825110266747,16
11,10295833.342324933,15268193.491821822,12148661.208579827,8137.123540334521,11350.043078269362,4769.893430278765,1537.0109735450844,2123.4312018145656,942.0812138507443,252.52316118165828,338.0338980963477,168.81677604309007,16
12,10291473.758209309,15262105.899198787,12146166.628974548,11711.411027810973,16342.014352965873,6806.300454375645,2211.08929994172,3065.1068139277004,1332.705989661934,363.7414629336523,491.9796343223512,236.36458141409474,16
13,10285202.837422302,15253351.593421953,12142592.99581445,16852.208682630364,23519.197189570597,9725.653985412628,3181.2048985431957,4420.131409515011,1891.2644355498014,523.7489965211801,714.0779789642393,332.085764586695,16
14,10276186.055620702,15240767.212111454,12137470.788228972,24243.01668497362,33834.30967281221,13912.384760684065,4576.965499434495,6369.2521206955425,2690.7135648527365,753.9621948876943,1034.2260950388481,468.11344549145736,16
15,10263227.81577249,15222686.005660037,12130126.651701357,34862.61183144893,48651.74282365508,19917.727228896983,6584.406470954692,9171.866647317202,3835.767207201928,1085.1659251031397,1495.3848689912074,661.8538625430973,16
16,10244618.524021745,15196724.312900037,12119595.880075136,50109.6488623558,69921.58725424267,28531.20128209699,9470.243145409115,13199.846906072582,5476.639134769457,1561.5839704877665,2159.252939646943,938.2795079963004,16
17,10217920.356273636,15159482.013507724,12104498.436609928,71976.72067818325,100423.11922346854,40881.71468621965,13616.231467640288,18985.496064238876,7828.636197556618,2246.6915805391714,3114.3712045706875,1333.2125062977045,16
18,10179670.878035434,15106127.235360852,12082864.551743586,103290.12862859399,144101.01195614945,58579.4532711752,19567.506327180196,27289.0914138378,11199.978358376025,3231.4870087908116,4487.661269163925,1898.0166268639302,16
19,10124980.688102826,15029830.709208665,12051891.912023988,148033.22801170952,206520.4315039186,83912.7381627156,28099.880446249,39193.084048701254,16031.066982994578,4646.203439212825,6460.775238718499,2706.2828303022275,16
20,10047003.632484889,14921017.064076431,12007613.142262293,211767.45843735812,295463.20614782255,120116.08554635341,40312.13140292151,56231.617467447366,22949.453538206795,6676.777674827025,9293.112308299224,3863.3186531499555,16
21,10014281.367211482,14875342.179240592,11988986.500837699,226997.31583074885,316731.5574063029,128818.61626003621,54948.4305601412,76653.97377444858,31248.617239836836,9532.88639761656,13277.289578653874,5488.265662431397,16
22,9971467.533865938,14815568.882416846,11964572.019390775,250756.91019690875,349917.0847820434,142415.92870581162,70251.58546625274,98008.73459204251,39933.1680077397,13283.970470888758,18510.298209065404,7620.883895676689,16
23,9918026.352871215,14740936.769480227,11934022.080002947,282907.76924000285,394837.7356260472,160867.23757737514,86837.13227845935,121156.27275480413,49357.628456986014,17988.745610308873,25074.222138919908,10295.053962694454,16
24,9853065.136421574,14650182.108264271,11896768.816941172,323664.81941980746,451808.8345194834,184346.45629573954,105288.30388743793,146912.8248335173,59861.34432048816,23741.740271168095,33101.23238272372,13565.382442601955,16
25,9775368.190968014,14541583.052679196,11852036.425516056,373536.7119855337,521561.5033316737,213213.91787947132,126182.89894226105,176088.32245227753,71784.85624699708,30672.1981041791,42772.12153684933,17506.80035747864,16
26,9683422.09869913,14412992.132743796,11798846.144943068,433278.9581112714,605179.4943627731,247997.28079259765,150114.5363847876,209516.52031627926,85483.52371719027,38944.40680480144,54316.85257714799,22215.050547147453,16
27,9575437.724156773,14261863.32332735,11736016.325596226,503853.8261301988,704046.1063784412,289378.634517106,177709.27622079695,248078.8294624515,101339.10300937791,48759.17349222293,68016.74083175609,27807.93687729326,16
28,9449374.69975373,14085281.561327033,11662160.141139146,586390.8792985317,819792.7455729918,338184.82984550536,209638.25257317885,292722.8009132655,119769.81255239551,60356.16837455006,84207.89218670705,34427.21646295507,16
29,9302973.968468707,13880002.350134706,11575683.348439934,682142.7570943035,954241.6841498909,395378.4926798133,246626.3637612992,344475.3696777415,141239.10297320964,74016.91067567939,103285.5960376603,42241.05590704601,16
30,9133804.863217214,13642510.389992233,11474784.968855696,792430.331315873,1109334.859172797,462046.894333825,289456.66365997907,404450.4158173507,166263.1645507224,90068.14180692339,125709.33501761702,51446.97225975866,16
31,8939333.254131097,13369106.364975119,11357463.970936384,918571.8552386749,1287041.1139366291,539385.9111916826,338969.5612895638,473849.4462819262,195416.92423913963,108885.3293406516,152008.07480632394,62275.193632796225,16
32,8717017.517428003,13056031.601577777,11221535.790224602,1061790.7175668597,1489234.029333205,628675.7138896292,396055.8365813072,553954.0349681537,229338.18110626104,130895.92842381806,182785.33412086108,74992.31477950948,16
33,8464438.266185956,12699639.48918753,11064662.751484044,1223097.7996303593,1717534.1455243304,731244.94079055,461641.9260002425,646107.8542391136,268729.17663491087,156582.00818342864,218723.51104902322,89905.13109049732,16
34,8179466.376669813,12296621.103684165,10884403.027573265,1403145.9937223818,1973111.1018031714,848419.7591133652,536665.9023588296,751686.028391287,314354.7451656241,186481.72724896262,260586.766121373,107364.46814774869,16
35,7860472.355896259,11844291.097469907,10678283.735566003,1602056.648693417,2256443.69029531,981453.7535022501,622042.0044864133,872048.6584694138,367035.74034447724,221188.99092389815,309221.5537653638,127768.77058727213,16
36,7506566.876509473,11340922.253711991,10443899.886094095,1819228.628499069,2567050.5389739084,1131438.0910443403,718613.76213057,1008478.2060297366,427636.89303389663,261350.7328608749,365554.0012843583,151567.12982766933,16
37,7117866.811361382,10786123.986594658,10179044.73077388,2053138.2562024856,2903200.19207366,1299188.585243114,827094.0221579995,1162097.957440997,497047.31291451317,307660.9102781204,430582.86389067926,179261.37106849506,16
38,6695760.346231928,10181231.628198225,9881869.960777866,2301155.6115538906,3261633.2252615965,1485112.7532631028,947993.4923927634,1333773.088660084,576152.5716089455,360850.5498214049,505367.05788008875,211406.71435008862,16
39,6243137.953115422,9529663.46783435,9551071.575229596,2559407.922016752,3637336.922146075,1689062.4103390537,1081540.8356634162,1523997.7173525575,665797.5052673515,421673.2892043953,591006.8926670118,248610.50916399993,16
40,5764547.5884025805,8837189.332359606,9186092.387169376,2822726.5965693947,4023422.724775062,1910181.719251435,1227599.8699264752,1732774.7575374255,766739.4681082753,490885.9451015367,688618.1853278995,291528.4254709158,16
41,5266226.449860626,8112043.15759609,8787324.561248705,3084717.2847105013,4411163.504598682,2146767.0173714277,1385592.0138305975,1959499.0939487743,879592.8393645306,569224.2515982619,799299.2438564475,340857.5820153386,16
