time,regions,sf6
1996,ANZ,0.054678386499635113
1996,EEU,0.0021659870741915638
1996,FSU,0.005946029423324882
1996,MDE,0.4363729905721015
1996,CAM,0.04587527187123849
1996,LAM,0.1665787746707248
1996,SAS,0.3391276232722621
1996,SEA,0.3122168968375456
1996,CHI,0.1860906243825397
1996,MAF,0.06647000803963768
1996,SSA,0.0771175824309066
1996,SIS,0.0016782585367368938
1997,USA,2.5823856321986187
1997,CAN,0.2874700485693071
1997,WEU,1.2202079678268385
1997,JPK,1.0983465583544834
1997,ANZ,0.058683059310361295
1997,EEU,0.0051730814252135705
1997,FSU,0.007780480529068133
1997,MDE,0.45261778520801377
1997,CAM,0.052987288815310674
1997,LAM,0.18808354655835072
1997,SAS,0.35244721097850656
1997,SEA,0.3272427073941961
1997,CHI,0.21077467906962424
1997,MAF,0.06904918770691573
1997,SSA,0.08126902643970838
1997,SIS,0.0021949954662213466
1998,USA,2.7318824717448495
1998,CAN,0.3009276344061776
1998,WEU,1.3136785393462322
1998,JPK,1.1571822415703383
1998,ANZ,0.06461916892753013
1998,EEU,0.008411186712272195
1998,FSU,0.008554093857002544
1998,MDE,0.47177053712540434
1998,CAM,0.060935630220596206
1998,LAM,0.21237074704979364
1998,SAS,0.3663087449111709
1998,SEA,0.3448398742649425
1998,CHI,0.23819655399520376
1998,MAF,0.07230894823694477
1998,SSA,0.08537181472505423
1998,SIS,0.0030920026491272515
1999,USA,2.8882667889684828
1999,CAN,0.313123525975829
1999,WEU,1.4164459771698135
1999,JPK,1.1554931987239525
1999,ANZ,0.07189169961883397
1999,EEU,0.0111567109502065
1999,FSU,0.0025215317565696277
1999,MDE,0.48790243004799055
1999,CAM,0.06759333086497026
1999,LAM,0.2208394250864853
1999,SAS,0.3820461888208917
1999,SEA,0.3463408180330773
1999,CHI,0.26097879877837976
1999,MAF,0.0764247298318831
1999,SSA,0.08798107130960636
1999,SIS,0.003828659875325828
2000,USA,3.049778025548905
2000,CAN,0.32808634898034933
2000,WEU,1.5163222521483735
2000,JPK,1.2074833616058585
2000,ANZ,0.0795594443298036
2000,EEU,0.014067166507723586
2000,FSU,0.006379749527618023
2000,MDE,0.49703564512008863
2000,CAM,0.07348594857007158
2000,LAM,0.2186923088163965
2000,SAS,0.4003660852700503
2000,SEA,0.3624146436306369
2000,CHI,0.28853686058723527
2000,MAF,0.08061292452462215
2000,SSA,0.09169726977021843
2000,SIS,0.004470492873032852
2001,USA,3.238056335555388
2001,CAN,0.3439336419160193
2001,WEU,1.6447314908054893
2001,JPK,1.273339934425732
2001,ANZ,0.0865343921035214
2001,EEU,0.01848142322958831
2001,FSU,0.017825422758763462
2001,MDE,0.5176232840242345
2001,CAM,0.07816774052312565
2001,LAM,0.23631568492379687
2001,SAS,0.41852699286213035
2001,SEA,0.383412946931433
2001,CHI,0.3249654287362178
2001,MAF,0.08444188078713165
2001,SSA,0.09642340513660752
2001,SIS,0.005629609058583257
2002,USA,3.368067168197695
2002,CAN,0.35653113218725374
2002,WEU,1.7394809181409265
2002,JPK,1.34391602429239
2002,ANZ,0.0930029556425209
2002,EEU,0.02131374194816041
2002,FSU,0.021575387267724056
2002,MDE,0.5323603931605077
2002,CAM,0.08318273931394245
2002,LAM,0.25199910272557735
2002,SAS,0.4357706353518544
2002,SEA,0.4040515664165488
2002,CHI,0.3505645549051673
2002,MAF,0.08784369800644459
2002,SSA,0.10180590189682152
2002,SIS,0.006127603459320476
2003,USA,3.501206463776829
2003,CAN,0.36937164160595626
2003,WEU,1.8377715051674273
2003,JPK,1.4195911976850137
2003,ANZ,0.09977223960614523
2003,EEU,0.024517502261905706
2003,FSU,0.025848489424602585
2003,MDE,0.5479242742231084
2003,CAM,0.08855467429491726
2003,LAM,0.26896490793808775
2003,SAS,0.4535744158259029
2003,SEA,0.4255339042755072
2003,CHI,0.3772839312833691
2003,MAF,0.09148868014678319
2003,SSA,0.10760422024365104
2003,SIS,0.006673800353838212
2004,USA,3.637464576601515
2004,CAN,0.382449599227881
2004,WEU,1.9397504052982129
2004,JPK,1.499396497517847
2004,ANZ,0.10685164960360673
2004,EEU,0.02812593115495551
2004,FSU,0.03069324796664856
2004,MDE,0.5643964373182293
2004,CAM,0.09430919311952622
2004,LAM,0.2873122426375097
2004,SAS,0.4719403034376682
2004,SEA,0.4478572607250507
2004,CHI,0.4051090781319672
2004,MAF,0.09539951655679353
2004,SSA,0.11385690865951965
2004,SIS,0.007272024153704472
2005,USA,3.7768301581845227
2005,CAN,0.3957578261005866
2005,WEU,2.0455079343619644
2005,JPK,1.5834202907268715
2005,ANZ,0.11424779544102719
2005,EEU,0.03217461993275763
2005,FSU,0.03615816316980963
2005,MDE,0.5818665048075911
2005,CAM,0.1004739228158264
2005,LAM,0.30714871802552257
2005,SAS,0.4908639259715845
2005,SEA,0.47101457180337125
2005,CHI,0.4340243663472811
2005,MAF,0.09960205903361949
2005,SSA,0.1206041210437218
2005,SIS,0.007926281596191053
2006,USA,3.919319468033511
2006,CAN,0.409285759540275
2006,WEU,2.1550998180447345
2006,JPK,1.6719129963233035
2006,ANZ,0.12197268391918051
2006,EEU,0.036702753528925616
2006,FSU,0.042300476924810176
2006,MDE,0.6004351382796982
2006,CAM,0.10707864197847472
2006,LAM,0.32859668444981893
2006,SAS,0.5103429207148609
2006,SEA,0.49499108487730714
2006,CHI,0.4639989814256406
2006,MAF,0.10412577136738499
2006,SSA,0.12789245866925242
2006,SIS,0.008641322377971605
2007,USA,4.064881512322827
2007,CAN,0.4230243383184903
2007,WEU,2.268616488552848
2007,JPK,1.7650732644201461
2007,ANZ,0.13003121825973923
2007,EEU,0.04175361849773211
2007,FSU,0.04918154621339664
2007,MDE,0.6202129170705019
2007,CAM,0.11415382390321918
2007,LAM,0.3517723563320989
2007,SAS,0.5303652339049144
2007,SEA,0.5197734859146075
2007,CHI,0.4950000701683105
2007,MAF,0.1090012145015922
2007,SSA,0.1357693794606336
2007,SIS,0.009421904585923197
2008,USA,4.213525609459956
2008,CAN,0.4369664431903935
2008,WEU,2.3861487770415555
2008,JPK,1.8631780979617734
2008,ANZ,0.13843386035774244
2008,EEU,0.04737353564310902
2008,FSU,0.056867101857956535
2008,MDE,0.641329479801425
2008,CAM,0.12173386689641101
2008,LAM,0.3768190280250103
2008,SAS,0.5509260427445796
2008,SEA,0.5453405984392748
2008,CHI,0.5269940942476328
2008,MAF,0.11426551896064532
